"neighborhood","geoid","population","latitude","longitude","perceived_violence","svi","walkability","eviction_filing_rate","eviction_rate","perceived_sidewalk_qual","internet_access","easy_to_transit","rent_burdened","tree_canopy","litter","low_food_access","adult_loneliness","mental_health_need","disability","overall_health","perceived_safety","trust_law_enforce","trust_local_gov","high_school_grad","college_grad","preschool_enroll","unemployment","community_belonging","single_parent","poverty","percent_snap","percent_eligible_no_snap","public_assistance","foreign_born","limited_english_proficiency","nonhispanic_white","firearm_homicide","grade9_ed","roads_rail_airport_proximity_index","food_insecurity","medicaid","noncitizen","veteran","chicago_area","facet_area"
"Fuller Park","37",2549,-87.632427,41.809082,47.910386176,88.5576676509139,14.3922276592956,2.53221106195374,0.575473618592184,43.38192886,75.997740902,70.90380023,50.7387604311754,12.3,33.345955344,97.1012332518511,39.1494771,76.201163869,28.1741940639106,78.345763793,35.535719352,54.744743466,53.088257179,75.6111115783351,9.58330209300332,33.5042962534423,32.7100739959158,26.729474544,10.4636716093023,51.4410884854607,68.8750346019668,13.5548936090233,8.6994218791894,5.92619229811393,0.525141995882908,3.98341285698727,54.4,96.0451270633372,77.9294295502114,39.2616209,56.4321818356928,3.46813866432868,9.25320966975264,"south","The South Side"
"Grand Boulevard","38",24586,-87.61786,41.812947,40.117467409,72.7218981239323,14.385861565025,4.26757834340595,1.31266476507399,49.118020734,93.583769057,76.243061136,49.636719853075,16.9,32.876744717,10.537804854067,35.01069345,62.611638622,18.1880864711863,82.758352744,46.280056423,40.573004921,33.913806431,88.5136556667169,36.9288984208082,71.7849863061908,14.5000184832383,31.742666766,11.426623432598,27.0268339512722,37.163201928291,28.346592162408,2.95624153573903,4.02341838666561,0.531927414321738,5.25402683003865,49.4,96.9678491608217,76.5470406367272,32.239310575174,33.668248905859,1.68849256371092,5.30771848974083,"south","The South Side"
"Kenwood","39",19126,-87.596186,41.808918,27.72627846,69.3654530496374,14.2026103133807,3.83524407800019,1.44604463139225,52.303193066,77.510224164,89.371445515,50.7534259429292,28,36.526948933,5.7702614420898,26.29266372,77.395063766,16.9534016664942,89.847590672,67.188061168,76.490778681,67.424067574,94.4751909628106,57.8380397836288,79.3822161330178,10.8529674011827,65.354732185,9.25021177903068,24.4075916693931,20.6342818846249,56.3430256796355,2.02059219956325,9.24546247229872,0.633871372896876,20.9925243881918,20.4,98.4411965985646,77.5366201938627,21.4104188,24.2369043147674,5.44045851173215,5.25715629535612,"south","The South Side"
"Lincoln Square","4",40412,-87.687513,41.975182,12.439516771,40.7759817353015,15.4590231616915,0.684203892046281,0.174679205565237,68.057780718,96.878038329,86.608680723,41.0384691659854,28.3,59.980119833,7.90276170553888,27.37196848,52.735840465,6.36561544756536,90.880598717,89.959981951,61.437798292,61.12105255,93.7081868181378,65.744646853239,66.7153028880597,6.10940277659249,57.67500257,3.22750009239543,9.0906444156368,7.47876534692379,74.9269669404879,2.6273224916408,21.7548178103407,6.62493237608621,61.519436499317,0,96.1325921047821,76.1692960599074,13.2645996645997,11.5312741150374,9.76570732096356,1.93198005500067,"north","The North Side"
"Washington Park","40",12709,-87.617936,41.792356,54.5279787,87.8207643409896,13.1587391624899,5.56471775178621,2.2939444477225,31.640216686,75.532036666,71.255202948,57.1170159260489,21.9,18.883960051,65.4569603204927,39.89280924,81.489755466,17.2925466169134,76.439985777,33.598315063,28.665852156,24.3388941,86.1363142839392,22.3665054719453,60.7457425039635,15.8321404364779,28.502565256,24.0594011814681,43.5210099653282,44.7488344718607,36.7561383473257,3.04235331051284,2.52826061058761,0.546646735467639,1.80442457152564,66.3,97.48848628098,70.9651719506316,35.8996538941162,55.0345066628832,1.66956196701101,4.78034732488327,"south","The South Side"
"Hyde Park","41",29459,-87.592305,41.794088,39.868376126,51.8774869305338,14.7511077607098,2.15675731600882,0.942350803147769,56.095033392,100,88.557573549,54.8966840290974,27.5,46.755320952,12.3591156858882,22.57403538,75.642253954,10.5260709297933,97.247898032,70.052623888,53.750188941,58.16466351,96.5989838030951,78.6805546305424,61.0926219527347,5.98164657905951,47.487964654,4.47171815626917,22.4055874293389,7.427343417581,90.3263701434167,1.92430446876317,19.6781212662337,0.563478311404513,45.6494742221804,2.4,98.9829436807615,69.9116032439161,17.5755358244642,10.5503128303731,13.4289776980868,2.09915073342375,"south","The South Side"
"Woodlawn","42",25285,-87.594924,41.778877,40.891576239,81.9363927614556,13.1643801504814,4.71575659712877,1.98919189018116,49.292229325,92.778274336,60.260276751,55.8557834296973,22.1,16.515747246,36.9212547535005,36.04947573,56.740459078,18.1421913420078,73.102018587,58.241860544,42.920198652,46.052347806,88.0086702889929,28.6798953312674,52.7524760945979,16.1408192281295,42.146447387,12.0880776546736,31.1674225999499,38.6629772612068,39.9770100437098,5.43837628366989,6.91624481044887,0.52024092833695,10.1393639306652,55.2,96.3386585693391,74.3209687563138,32.9641057487403,35.1431968020062,4.06344496886691,3.18907261067481,"south","The South Side"
"South Shore","43",51919,-87.57279,41.761583,64.395946286,82.6063579973451,13.4596716522862,7.35502873188287,2.77131767877167,38.604532441,79.602098924,67.460314843,54.441900204698,23.1,25.702516795,57.5959879762995,48.42589186,85.053601265,18.1385971552238,75.694690325,23.837585597,34.326083146,29.288012367,88.7558162096147,23.8467719206335,66.361858340948,16.8205125535523,38.348417434,12.4673567791455,30.7912179240953,37.9231071916211,34.5835665630478,3.85814864708095,4.01664119949588,1.07052031906649,2.56352645878756,63.4,96.9177179528318,77.9995684866878,31.9786266358799,44.1175815864175,2.06096225490354,5.63783206236648,"south","The South Side"
"Chatham","44",31804,-87.615965,41.740206,54.26466436,73.9734413468701,12.666940218388,6.86739583370048,2.68239381723571,46.650768483,91.836099741,63.167290323,57.3511975489242,20.1,21.915229973,55.0562111666794,46.4972025,84.87836567,18.9362492806575,82.291637051,36.481066144,45.540817442,30.439707939,88.0204248929714,29.7499110210477,72.48628536409,15.2156305336912,29.911169837,11.1444350016291,24.7143335511024,33.4139310997095,30.6692596506273,5.34146434254341,2.3625691614751,0.226912429076143,1.11156965625547,73.6,97.3851108739807,76.1188101569439,28.4834484689694,36.8578897167482,1.42924939732083,5.36417629691575,"south","The South Side"
"Avalon Park","45",9359,-87.586347,41.744197,39.244228913,75.8561225400017,13.6562702486061,4.22177074689202,1.44348358161535,56.764618338,92.917799191,74.601092398,55.0664942327462,22,45.417512795,19.1656069037685,33.68408863,51.967533764,19.4080473624509,93.229816637,46.410682457,33.378407003,46.487852514,91.1662164536464,29.0992870722117,33.0685060993162,12.1191868166413,41.62763193,10.6951180081787,19.5656713942371,21.4219460740949,45.1245562403203,7.11770919780763,4.76559912354882,0.210296905202832,0.283207234761002,48.2,97.68938147906,77.9964466336209,24.6761010805054,21.9458858848359,2.89500171738092,3.81439818972881,"south","The South Side"
